id,anchor,target,context,score
506f8d0a6feae789,abatement,abatement apparatus,F24,0.5
4d0b732250d2940d,abnormal position,open condition,B23,0.25
028faac1cefe4f7d,absorbent properties,properties,D01,0.5
ba0d2831300d9b37,acan,proteoglycans,C07,0.25
cfe4a53278917f5b,accept information,receiving information,A45,0.5
63ae5e20e8e310dd,achieve authentication,failed authorization request,H04,0.25
57ce3adc96d82fca,acid absorption,acid oxide distillation,B08,0.25
753de89863b03020,ack,data network,G04,0.25
717a132db3aa625b,acoustooptic modulator,electrooptical modulator,H01,0.5
e75fc86dbafdb7c7,acrylate groups,methacrylate units,D21,0.5
6e29a7d9311fffe0,activating position,distal state,A61,0.5
a61fe22304f0c51e,acylate with acids,acidity,C07,0.0
0190edb4d1662971,adapt for learning,provided learning,G16,0.75
7db0ebfad1012d8f,adaptive linear,self adaptive linear,G01,0.75
d1130bfa30d4c963,adhesive mounting,releasable mounting,A47,0.5
e6751ed66a5bae84,adjacent laterally,lateral communication,B23,0.0
d85609c0e24aa26d,adjust gas flow,transferring processing gas,C23,0.5
7dfcf553d2713a19,adjustable multiple,multiple cancer,B23,0.0
64c35e1bc5428ab4,aesthetic effects,anesthesia course,D03,0.0
bf90483c5f4ee4e6,agitate means,agitating technology,B01,0.25
16f081b7f11c18f7,air flow line,air supply path,B63,0.75
69ada1a615c3801d,air vent openings,air hole,B60,0.75
d9b75e91231b2a80,align with input shaft,shaft system,F16,0.5
5c40073c6d8e589c,alpha gypsum,alpha brain waves,B32,0.0
ba5b915c2ba0164d,alphatic,alps mountain,C09,0.0
1bcb74c78ee23f9d,aluminium compounds,aluminium trichloride,C08,0.5
0026816015f16f2e,alumino silicates,hydrous silicates,G03,0.5
25a5ace565ab1269,ammonia recovery,ammonium recovery,C01,0.5
c869f4bcd70de059,androgen receptor modulators,sports club,C07,0.0
eb3e900a54c19290,angular contact bearing,angular contact,G01,0.5
e27480361424507f,animal fats,liver metabolism,A23,0.25
883ac9f5424d001e,annular ends,segments,B60,0.25
60174cac75975a96,annular neck,neck,B29,0.5
f8586bf7a1ac53d3,antiatherosclerotic,reduce arteries hardening,C07,0.5
5da3704d05b3f4e7,antidiuretic,opposing action,C07,0.0
5aad931ed6349085,antigen composition,fragment,A61,0.25
f211c90f7e7976ae,apart elongated,apart stretched,B64,0.75
870e8c4a588b3b89,application messaging,application development,G06,0.0
7b8eb04464c1e1e7,apply on tube,test tube,F16,0.0
a95709d9e6380bb0,apply to anode electrode,oxidation,H01,0.25
fd2316deb896c359,apply to muscle,apply for food stamp,A61,0.0
