Competition,Loop Index,Type,Exp Index,Score,Metric,Hypothesis,Feedback
aerial-cactus-identification,14,baseline,0,,,,
aerial-cactus-identification,14,baseline,1,,,,
aerial-cactus-identification,14,baseline,2,,,,
aerial-cactus-identification,14,baseline,3,,,,
aerial-cactus-identification,14,baseline,4,,,,
aerial-cactus-identification,14,baseline,5,,,,
aerial-cactus-identification,14,baseline,6,,,,
aerial-cactus-identification,14,baseline,7,,,,
aerial-cactus-identification,14,baseline,8,,,,
aerial-cactus-identification,14,baseline,9,,,,
aerial-cactus-identification,14,researcher,0,,,,
aerial-cactus-identification,14,researcher,1,,,,
aerial-cactus-identification,14,researcher,2,,,,
aerial-cactus-identification,14,researcher,3,,,,
aerial-cactus-identification,14,researcher,5,,,,
aerial-cactus-identification,14,researcher,6,,,,
aerial-cactus-identification,14,researcher,7,,,,
aerial-cactus-identification,14,researcher,8,,,,
aerial-cactus-identification,14,researcher,9,,,,
aerial-cactus-identification,15,baseline,0,,,,
aerial-cactus-identification,15,baseline,1,,,,
aerial-cactus-identification,15,baseline,3,,,,
aerial-cactus-identification,15,baseline,4,,,,
aerial-cactus-identification,15,baseline,5,,,,
aerial-cactus-identification,15,baseline,6,,,,
aerial-cactus-identification,15,baseline,7,,,,
aerial-cactus-identification,15,baseline,8,,,,
aerial-cactus-identification,15,baseline,9,,,,
aerial-cactus-identification,15,researcher,0,,,,
aerial-cactus-identification,15,researcher,1,,,,
aerial-cactus-identification,15,researcher,2,,,,
aerial-cactus-identification,15,researcher,3,,,,
aerial-cactus-identification,15,researcher,5,,,,
aerial-cactus-identification,15,researcher,6,,,,
aerial-cactus-identification,15,researcher,7,,,,
aerial-cactus-identification,15,researcher,8,,,,
aerial-cactus-identification,15,researcher,9,,,,
aerial-cactus-identification,36,baseline,0,,,,
aerial-cactus-identification,36,baseline,1,,,,
aerial-cactus-identification,36,baseline,2,,,,
aerial-cactus-identification,36,baseline,3,,,,
aerial-cactus-identification,36,baseline,4,,,,
aerial-cactus-identification,36,baseline,5,,,,
aerial-cactus-identification,36,baseline,6,,,,
aerial-cactus-identification,36,baseline,7,,,,
aerial-cactus-identification,36,baseline,8,,,,
aerial-cactus-identification,36,baseline,9,,,,
aerial-cactus-identification,36,researcher,0,,,,
aerial-cactus-identification,36,researcher,5,,,,
aerial-cactus-identification,36,researcher,7,,,,
aerial-cactus-identification,36,researcher,8,,,,
aerial-cactus-identification,36,researcher,9,,,,
aerial-cactus-identification,37,baseline,0,,,,
aerial-cactus-identification,37,baseline,1,,,,
aerial-cactus-identification,37,baseline,2,,,,
aerial-cactus-identification,37,baseline,3,,,,
aerial-cactus-identification,37,baseline,4,,,,
aerial-cactus-identification,37,baseline,5,,,,
aerial-cactus-identification,37,baseline,6,,,,
aerial-cactus-identification,37,baseline,7,,,,
aerial-cactus-identification,37,baseline,8,,,,
aerial-cactus-identification,37,baseline,9,,,,
aerial-cactus-identification,37,researcher,0,,,,
aerial-cactus-identification,37,researcher,5,,,,
aerial-cactus-identification,37,researcher,7,,,,
aerial-cactus-identification,37,researcher,8,,,,
aerial-cactus-identification,37,researcher,9,,,,
dog-breed-identification,24,researcher,4,,,,
dog-breed-identification,25,researcher,4,,,,
dog-breed-identification,48,researcher,4,,,,
dog-breed-identification,49,researcher,4,,,,
